"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Arsb",0.0030149431989354,0.583042206452031,0.383,0.329,1,"MOL_1","Arsb"
"Nbeal1",0.00309085114730343,0.62105660895433,0.284,0.246,1,"MOL_1","Nbeal1"
"Prkcsh",0.00311088789956872,0.565230016615578,0.405,0.365,1,"MOL_1","Prkcsh"
"Col4a3bp",0.00312877295965576,0.401489228413166,0.28,0.26,1,"MOL_1","Col4a3bp"
"Cdk12",0.00327196608002474,0.607284332014139,0.257,0.226,1,"MOL_1","Cdk12"
"Tmc7",0.00330130842000597,0.669964298178826,0.349,0.289,1,"MOL_1","Tmc7"
"Nsmf",0.00332270055233027,0.605522359176185,0.48,0.449,1,"MOL_1","Nsmf"
"Dot1l",0.00341598454636758,0.610190567156828,0.329,0.29,1,"MOL_1","Dot1l"
"Wsb1",0.00350097140717694,0.829053424233886,0.417,0.33,1,"MOL_1","Wsb1"
"Ogdhl",0.00359763853696584,0.947455850630342,0.268,0.163,1,"MOL_1","Ogdhl"
"Csmd3",0.00379985197397011,1.03088382777695,0.257,0.171,1,"MOL_1","Csmd3"
"Atp2b1",0.00381683349052013,0.401660779726501,0.335,0.315,1,"MOL_1","Atp2b1"
"Safb2",0.00383044366352051,0.71215518667243,0.38,0.313,1,"MOL_1","Safb2"
"Iars",0.00411059153863597,0.528276353277184,0.381,0.361,1,"MOL_1","Iars"
"Tm9sf2",0.00415109351395138,0.405859892627268,0.516,0.483,1,"MOL_1","Tm9sf2"
"Ncstn",0.00448837416542726,0.457501374632294,0.283,0.266,1,"MOL_1","Ncstn"
"Chd6",0.00459081844516675,0.587481618139035,0.338,0.3,1,"MOL_1","Chd6"
"Dscaml1",0.00475344514561396,0.495930645430455,0.516,0.495,1,"MOL_1","Dscaml1"
"Galnt2",0.00491939213948711,0.400648725434211,0.444,0.413,1,"MOL_1","Galnt2"
"Adamts4",0.0049650833319342,0.298295622962884,0.87,0.875,1,"MOL_1","Adamts4"
"Wdr20",0.00506006496714001,0.577783198585119,0.374,0.333,1,"MOL_1","Wdr20"
